filename,width,height,class,xmin,ymin,xmax,ymax
nasal_discharge_00000752_jpg.rf.85793634f22462b3d1c38fbbff2641d3.jpg,300,300,nasal_discharge,53,108,87,148
conjunctival_injection_or_redness_00000867_jpg.rf.857fd904a40464262aefd90e6635fe0a.jpg,300,300,conjunctival_injection_or_redness,127,119,161,167
circular_alopecia_00000268_jpg.rf.85869ce3b855950dde12756bf7c5665d.jpg,296,296,circular_alopecia,107,78,145,145
nasal_discharge_00000267_jpg.rf.858e63af6a0e91c7c6e3f167f9cb2cff.jpg,300,300,nasal_discharge,56,152,145,216
skin_lesions_00000917_jpg.rf.859254a3e97cd5fb628ebe8bec30ba01.jpg,300,300,skin_lesions,158,150,299,277
keratosis_00000974_jpg.rf.8593de98f8b8a34598a40e53c187f519.jpg,272,272,keratosis,31,86,191,246
skin_lesions_00000201_jpg.rf.85941755dc0354b49298dffc33c635d7.jpg,286,286,skin_lesions,115,93,273,202
circular_alopecia_00000240_jpg.rf.859579e87da738f6f07a7fe6dafd42aa.jpg,274,274,circular_alopecia,120,44,163,101
keratosis_00000682_jpg.rf.859c3ec628c7fe8d6de3f19c4badfb35.jpg,270,270,keratosis,120,130,151,166
skin_lesions_00000291_jpg.rf.85a11c36ee3b9f01ebcacb80bb7334a6.jpg,286,286,skin_lesions,63,30,259,206
nasal_discharge_00000095_jpg.rf.85ac4e7b738dad75ddc6edded71789e8.jpg,292,292,nasal_discharge,3,133,177,229
nasal_discharge_00000733_jpg.rf.85acef8aac2340003cd5b4af394c793f.jpg,300,300,nasal_discharge,48,69,81,108
nasal_discharge_00000763_jpg.rf.85b2ffc48af199c11153dd02fe9fccef.jpg,298,298,nasal_discharge,85,172,129,223
skin_lesions_00000431_jpg.rf.85b308412487bfdb2db3b751cd2ad4b2.jpg,300,300,skin_lesions,111,128,166,176
conjunctival_injection_or_redness_00000947_jpg.rf.85b58b2e4914e388a5670df189025dfd.jpg,300,300,conjunctival_injection_or_redness,113,107,131,128
keratosis_00000202_jpg.rf.85b674ad1f2b5b176562ceddb7e3ac41.jpg,276,276,keratosis,100,38,201,194
ocular_discharge_00000896_jpg.rf.85b8ae57ba165054edb613b5a7e69c38.jpg,300,300,ocular_discharge,199,223,215,256
